Customer ID,Market,Product ID,Material,Market Segment,Market Segment Owner,Remaining Shelf Life,Lead Time Days,Customs Status
CH,CH,MAT_100828,MAT_100828,Partner,David Deleon,20,42,Exempt
IN,IN,MAT_100414,MAT_100414,Affiliate,Andrea Anderson,6,26,Pending
IN,IN,MAT_100261,MAT_100261,Incyte,Julie Williamson,31,15,Pending
CA,CA,MAT_100847,MAT_100847,Affiliate,Kevin Lee,15,19,Exempt
EMEA_REG,EMEA_REG,MAT_100071,MAT_100071,Direct Distribution,Chad Young,14,27,Pending
EMEA_REG,EMEA_REG,MAT_100875,MAT_100875,Incyte,Richard Nguyen,13,21,Pending
CH,CH,MAT_100051,MAT_100051,Affiliate,John Hansen,24,40,Pending
IN,IN,MAT_100973,MAT_100973,Affiliate,Brittany Miller,35,38,Exempt
SG,SG,MAT_100251,MAT_100251,Incyte,Daniel Snyder,26,30,Cleared
GB,GB,MAT_100354,MAT_100354,Direct Distribution,Lauren Wu,24,11,Pending
DE,DE,MAT_100473,MAT_100473,Partner,Tammy Lara,21,17,Exempt
SG,SG,MAT_100409,MAT_100409,Incyte,Steven Austin,35,26,Pending
IT,IT,MAT_100248,MAT_100248,Partner,Autumn Potter,12,6,Pending
EMEA_REG,EMEA_REG,MAT_100734,MAT_100734,Incyte,Hayden Walker,20,31,Exempt
FR,FR,MAT_100154,MAT_100154,Direct Distribution,James Fisher,26,14,Pending
AU,AU,MAT_100558,MAT_100558,Partner,Amanda Russo,14,30,Exempt
US,US,MAT_100701,MAT_100701,Affiliate,Renee Neal,20,7,Cleared
US,US,MAT_100195,MAT_100195,Incyte,Linda Smith,12,20,Pending
CA,CA,MAT_100916,MAT_100916,Incyte,Stacy Long,20,43,Exempt
CN,CN,MAT_100523,MAT_100523,Direct Distribution,Taylor Pittman,18,44,Cleared
CH,CH,MAT_100543,MAT_100543,Partner,Jennifer Martin,24,22,Cleared
LATAM_REG,LATAM_REG,MAT_100093,MAT_100093,Direct Distribution,Christopher Long PhD,10,25,Exempt
GB,GB,MAT_100932,MAT_100932,Incyte,Alexander Swanson,22,45,Cleared
SG,SG,MAT_100972,MAT_100972,Incyte,Devon Barron,19,7,Exempt
US,US,MAT_100999,MAT_100999,Direct Distribution,Andrea Little,8,42,Exempt
AMER_REG,AMER_REG,MAT_100518,MAT_100518,Direct Distribution,Leah Martinez,33,23,Cleared
IT,IT,MAT_100842,MAT_100842,Incyte,Jared Webb,32,26,Exempt
CA,CA,MAT_100582,MAT_100582,Incyte,Samuel Smith,32,39,Exempt
LATAM_REG,LATAM_REG,MAT_100135,MAT_100135,Incyte,Jonathan Winters,27,28,Cleared
CN,CN,MAT_100357,MAT_100357,Partner,Dennis Gibson,33,21,Cleared
AMER_REG,AMER_REG,MAT_100808,MAT_100808,Affiliate,Courtney Mcguire,32,10,Cleared
DE,DE,MAT_100699,MAT_100699,Affiliate,Leslie Sims,26,42,Pending
DE,DE,MAT_100983,MAT_100983,Direct Distribution,Jennifer Garcia,19,45,Cleared
