MANDT,LIFNR,BUKRS,PERNR,ERDAT,ERNAM,SPERR,LOEVM,ZUAWA,AKONT,BEGRU,VZSKZ,ZWELS,XVERR,ZAHLS,ZTERM,EIKTO,ZSABE,KVERM,FDGRV,BUSAB,LNRZE,LNRZB,ZINDT,ZINRT,DATLZ,XDEZV,WEBTR,KULTG,REPRF,TOGRU,HBKID,XPORE,QSZNR,QSZDT,QSSKZ,BLNKZ,MINDK,ALTKN,ZGRUP,MGRUP,UZAWE,QSREC,QSBGR,QLAND,XEDIP,FRGRP,TOGRR,TLFNS,INTAD,XLFZB,GUZTE,CERDT,CONFS,UPDAT,UPTIM,NODEL,AVSND,AD_HASH
100,1000000002,3156,00000000,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC0,CLERK,Auto Generated,PLAN,01,1000000002,1000000002,20260213,12,20260213,N,256.77,25,N,T001,HB01,N,"","","","","",OLD0,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000002,9982,00000001,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC1,CLERK,Auto Generated,PLAN,01,1000000002,1000000002,20260213,12,20260213,N,9757.89,60,N,T001,HB01,N,"","","","","",OLD1,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000003,9052,00000002,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC2,CLERK,Auto Generated,PLAN,01,1000000003,1000000003,20260213,12,20260213,N,753.07,39,N,T001,HB01,N,"","","","","",OLD2,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000004,4148,00000003,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC3,CLERK,Auto Generated,PLAN,01,1000000004,1000000004,20260213,12,20260213,N,742.97,0,N,T001,HB01,N,"","","","","",OLD3,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000007,3299,00000004,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC4,CLERK,Auto Generated,PLAN,01,1000000007,1000000007,20260213,12,20260213,N,2738.45,64,N,T001,HB01,N,"","","","","",OLD4,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000014,4523,00000005,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC5,CLERK,Auto Generated,PLAN,01,1000000014,1000000014,20260213,12,20260213,N,5147.96,27,N,T001,HB01,N,"","","","","",OLD5,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000015,2562,00000006,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC6,CLERK,Auto Generated,PLAN,01,1000000015,1000000015,20260213,12,20260213,N,919.48,2,N,T001,HB01,N,"","","","","",OLD6,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000015,6974,00000007,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC7,CLERK,Auto Generated,PLAN,01,1000000015,1000000015,20260213,12,20260213,N,8737.28,30,N,T001,HB01,N,"","","","","",OLD7,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000015,10746,00000008,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC8,CLERK,Auto Generated,PLAN,01,1000000015,1000000015,20260213,12,20260213,N,6975.49,97,N,T001,HB01,N,"","","","","",OLD8,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
100,1000000021,6933,00000009,20260213,DATA_GEN,"","",001,300000,A001,01,NEFT,N,"",0001,ACC9,CLERK,Auto Generated,PLAN,01,1000000021,1000000021,20260213,12,20260213,N,3310.02,54,N,T001,HB01,N,"","","","","",OLD9,01,01,01,"","",IND,N,REL1,TOL1,9999999999,vendor@test.com,N,0001,20260213,A,20260213,120000,N,N,HASH123
