ABUEB,ACTIVITY_PROFIL,AGREL,BLIND,BOIND,BOLRE,BOPNR,BSTAE,EIKTO,EKGRP,EKORG,ERDAT,ERNAM,EXPVZ,INCO1,INCO2,KALSK,KZABS,KZAUT,KZRET,LEBRE,LFABC,LFRHY,LIBES,LIFNR,LIPRE,LISER,LOEVM,MANDT,MEGRU,MEPRF,MINBW,MRPPP,NRGEW,OIA_SPLTIV,OIHANTYP,OIHVGROUP,OIMATCYC,PAPRF,PLIFZ,PRFRE,RDPRF,SKRIT,SPERM,STAGING_TIME,TELF1,TRANSPORT_CHAIN,UMSAE,VENDOR_RMA_REQ,VENSL,VERKF,VSBED,WAERS,WEBRE,XERSR,XERSY,XNBWY,ZOLLA,ZTERM
REL1,ACT1,X,X,"",X,B001,7243,6202315843,824,HMBU,20240923,johnsonmario,2,CIF,Georgeport,02,X,X,X,X,B,936,"",1000000082,02,X,"",100,GRP1,1,2474.84,244,X,X,01,GR01,9,P001,29,X,R001,B,X,1,001-999-830-1021x414,TRCHN001,X,X,2.6,Daniel Jarvis,01,INR,X,X,"","",652785,0003
REL1,ACT1,X,X,"","",B001,4536,8151971819,384,J84R,20240708,aaronbruce,1,EXW,Meganmouth,01,X,"","",X,B,106,"",1000000472,01,"",X,100,GRP1,2,4493.59,444,X,"",01,GR01,5,P001,22,"",R001,B,X,6,001-449-873-4397x4999,TRCHN001,X,"",2.6,Rebecca Martin,01,USD,X,X,X,X,135932,0003
REL1,ACT1,"",X,X,"",B001,5433,8206475648,180,OZIT,20240414,michael17,1,CIF,East Brian,02,X,"",X,"",B,629,X,1000000490,01,"",X,100,GRP1,1,7385.04,831,"","",01,GR01,6,P001,5,"",R001,B,X,4,627.283.6147x082,TRCHN001,"","",4.3,Donna Adams,01,INR,"",X,"","",529394,0002
REL1,ACT1,"",X,X,"",B001,9869,8468699970,889,DTJV,20240423,hectormerritt,1,CIF,South Victoria,02,"","",X,X,B,750,"",1000000975,01,"","",100,GRP1,1,3756.54,514,X,X,01,GR01,4,P001,18,X,R001,A,X,9,(962)564-8346x58408,TRCHN001,X,X,4.4,Alexander Smith,01,INR,X,"",X,"",779827,0003
REL1,ACT1,X,X,"","",B001,5479,2597694746,510,1AI9,20250821,joshuachandler,1,EXW,South Dustinmouth,01,"",X,"","",B,193,X,1000000982,01,"","",100,GRP1,1,3584.0,931,X,"",01,GR01,4,P001,24,"",R001,A,X,9,(279)597-7891,TRCHN001,"",X,1.7,Edward Robinson,01,EUR,X,"",X,"",828208,0003
REL1,ACT1,X,"",X,X,B001,2090,9508241634,465,BXPF,20241231,amandabrown,2,FOB,North Peter,02,"",X,X,"",B,852,"",1000001135,02,X,"",100,GRP1,1,177.68,465,"",X,01,GR01,7,P001,5,"",R001,B,"",8,905-226-0391,TRCHN001,"",X,3.0,Karen Osborn,01,USD,"","","","",616108,0003
REL1,ACT1,X,"",X,"",B001,5853,2430827854,464,S04L,20250130,judith34,1,CIF,South Wayneview,02,"",X,"",X,A,139,"",1000001584,01,X,X,100,GRP1,1,2353.46,974,"","",01,GR01,3,P001,17,X,R001,B,"",6,001-355-219-4856x7677,TRCHN001,X,"",4.9,Daniel Pratt,01,USD,X,"","",X,541715,0001
REL1,ACT1,"",X,"",X,B001,2362,4756904296,178,21EJ,20251221,lovesamantha,2,CIF,Julieburgh,01,"",X,"",X,A,350,X,1000001615,02,"",X,100,GRP1,1,6526.65,561,X,"",01,GR01,4,P001,3,X,R001,B,"",3,(381)482-4533x829,TRCHN001,X,X,1.6,Carol Hicks,01,INR,X,X,X,"",984637,0001
REL1,ACT1,X,X,"",X,B001,2933,3664002123,937,F4FX,20250820,barnetterik,2,EXW,West Kelly,01,X,X,"",X,A,296,X,1000001956,01,"","",100,GRP1,2,5831.63,597,"",X,01,GR01,6,P001,28,X,R001,B,X,8,9616561390,TRCHN001,"","",3.4,Juan Johnson,01,INR,X,"","","",740655,0002
REL1,ACT1,X,"",X,"",B001,3563,8969521971,882,FOI0,20250607,bwallace,1,EXW,Port Amy,01,"","",X,"",A,919,X,1000002244,02,"",X,100,GRP1,1,9925.02,523,X,"",01,GR01,9,P001,7,"",R001,B,X,7,656.455.7040x169,TRCHN001,X,X,1.4,Steven Pierce,01,USD,"",X,X,X,366827,0003
