MANDT,EKGRP,EKNAM,EKTEL,LDEST,TELFX,TEL_NUMBER,TEL_EXTENS,SMTP_ADDR
100,8JV,Danielle,433218196001,PR02,989.608.3863,3268542351,317,howardmaurice@example.com
200,LRK,Lindsay,816184959310,PR02,001-341-431-6475x25534,+1-232-576-4835,6993,trujillorichard@example.org
300,9OD,Jason,376724238849,PDF1,001-365-432-8710,+1-326-691-6697x8480,6477,daniel62@example.com
400,0CJ,Aaron,828148932528,LP01,2955701543,001-411-671-8227,533,ibrandt@example.net
100,ZIX,Hannah,657871331509,PR02,793.301.0310,334.373.8299x73763,9847,agomez@example.com
200,PTS,Michelle,106513338726,PR02,473-817-8108x013,973.460.2606x4746,4070,kennethnovak@example.net
300,E75,Jill,500978820812,PR02,+1-813-761-9399x091,935-334-6247x510,5171,medinawilliam@example.org
400,8MS,Sarah,354278498084,PDF1,(541)718-2449,248.274.0164,1778,kellie42@example.net
100,0ZR,Scott,801128059826,LP02,8454053315,622.460.2563,1146,reyesbenjamin@example.com
200,ZBO,Jeffrey,543303654145,PDF1,(785)701-4294x0196,(798)816-9340x60883,8145,rushsamantha@example.net
300,SKB,Lee,484656482366,PDF1,+1-794-968-0443x699,573.687.2148x951,705,lindsayhernandez@example.org
400,QU7,John,917693676320,PR02,001-763-928-7083x17278,+1-986-587-2774x348,5640,scott43@example.com
100,ILY,Matthew,223623166587,LP01,2367690967,866-788-9373x4670,7058,dramsey@example.org
200,KVB,Tina,699016272046,LP01,975.256.4641,001-580-453-1003x3092,4462,kcaldwell@example.org
300,XBG,Steven,529912419049,PR02,(831)793-1491x9058,985-406-7165,1468,hthompson@example.net
400,4ZW,Joseph,769453147379,PR01,+1-665-207-5273x54549,531.836.7837x77014,9624,kevinperkins@example.com
100,AEL,Angela,685574443135,LP01,001-682-533-7498x9413,(924)308-2400x842,1777,andrewstaylor@example.com
200,OVE,Matthew,471167190229,LP01,831-986-9993,649.364.9909x133,2798,johnarnold@example.org
300,E9G,Aaron,974034471349,PR01,(918)332-4210x24994,746.648.8771x906,136,davissuzanne@example.net
400,T60,Brenda,490278742967,LP02,256.955.1256x7468,954-851-6808,3229,lopezmichael@example.com
100,K5B,Colleen,348247710932,LP01,+1-408-961-3171,001-548-446-7737x826,6904,hillkristy@example.com
200,ZJ2,Matthew,044997278755,LP01,001-886-875-3396x36057,+1-427-802-8951x71870,126,charlesharrington@example.com
300,76K,Matthew,158657809134,PR01,001-716-711-7240x0504,(923)486-9222x19693,963,stevenking@example.com
